epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5972222089767456,0.7600255012512207,0.001,0.625,0.6678025126457214
1,0.7245370149612427,0.5273088812828064,0.001,0.75,0.5678420662879944
2,0.7685185074806213,0.4803697168827057,0.001,0.6416666507720947,0.6083995699882507
3,0.7824074029922485,0.46296849846839905,0.001,0.7666666507720947,0.48367851972579956
4,0.8078703880310059,0.42630183696746826,0.001,0.7333333492279053,0.5070598125457764
5,0.8298611044883728,0.3815944194793701,0.001,0.7583333253860474,0.4800109267234802
6,0.8460648059844971,0.3633517026901245,0.001,0.7333333492279053,0.5357196927070618
7,0.8645833134651184,0.3416610062122345,0.001,0.75,0.4730108678340912
8,0.8287037014961243,0.3891185224056244,0.001,0.7166666388511658,0.5051060914993286
9,0.8622685074806213,0.3215063512325287,0.001,0.7916666865348816,0.4195667505264282
10,0.8611111044883728,0.3350881338119507,0.001,0.7833333611488342,0.4682486355304718
11,0.8645833134651184,0.3157784938812256,0.001,0.7166666388511658,0.5253756642341614
12,0.8761574029922485,0.2965748608112335,0.001,0.7333333492279053,0.515687108039856
13,0.8506944179534912,0.34442171454429626,0.001,0.7416666746139526,0.4770137369632721
14,0.8773148059844971,0.2839900553226471,0.001,0.7749999761581421,0.4649619460105896
15,0.875,0.2888166904449463,0.001,0.7916666865348816,0.446145623922348
16,0.8831018805503845,0.28356650471687317,0.001,0.7583333253860474,0.5072904229164124
17,0.8969907164573669,0.2680548429489136,0.001,0.7083333134651184,0.5737736225128174
18,0.8715277910232544,0.2996208965778351,0.001,0.824999988079071,0.4040611684322357
19,0.9108796119689941,0.25055572390556335,0.001,0.8166666626930237,0.40490758419036865
20,0.8969907164573669,0.25077271461486816,0.001,0.8166666626930237,0.43392664194107056
21,0.8784722089767456,0.26490047574043274,0.001,0.824999988079071,0.42377665638923645
22,0.9074074029922485,0.24044473469257355,0.001,0.824999988079071,0.4050336480140686
23,0.8900462985038757,0.25672346353530884,0.001,0.8333333134651184,0.406493604183197
24,0.9212962985038757,0.22498272359371185,0.001,0.8083333373069763,0.4202512502670288
25,0.8981481194496155,0.23965446650981903,0.001,0.800000011920929,0.4315311312675476
26,0.8807870149612427,0.26757895946502686,0.001,0.8083333373069763,0.4332588315010071
27,0.8946759104728699,0.24479658901691437,0.001,0.824999988079071,0.40489354729652405
28,0.9155092835426331,0.21401795744895935,0.001,0.824999988079071,0.41798684000968933
29,0.9155092835426331,0.21062713861465454,0.000100000005,0.8166666626930237,0.40976789593696594
30,0.9224537014961243,0.20955446362495422,0.000100000005,0.8166666626930237,0.416151225566864
31,0.9155092835426331,0.2059401124715805,0.000100000005,0.8166666626930237,0.4089159369468689
32,0.9247685074806213,0.20369282364845276,0.000100000005,0.8166666626930237,0.40999728441238403
33,0.9340277910232544,0.19815891981124878,0.000100000005,0.8166666626930237,0.41001930832862854
