epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8671963810920715,0.27597320079803467,0.001,0.9357798099517822,0.19856944680213928
1,0.9387060403823853,0.16899928450584412,0.001,0.9357798099517822,0.19075411558151245
2,0.936435878276825,0.1573255956172943,0.001,0.9357798099517822,0.18935637176036835
3,0.9341657161712646,0.15311075747013092,0.001,0.963302731513977,0.17757157981395721
4,0.9432463049888611,0.1443565934896469,0.001,0.9541284441947937,0.16336624324321747
5,0.9500567317008972,0.13652350008487701,0.001,0.9541284441947937,0.15500865876674652
6,0.9432463049888611,0.14789971709251404,0.001,0.9541284441947937,0.15813066065311432
7,0.9545970559120178,0.11534488946199417,0.001,0.9449541568756104,0.1501961052417755
8,0.9580022692680359,0.11205863952636719,0.001,0.9541284441947937,0.15069180727005005
9,0.9557321071624756,0.11594834178686142,0.001,0.9266055226325989,0.14244627952575684
10,0.9682179093360901,0.09329508244991302,0.001,0.9449541568756104,0.14521478116512299
11,0.9466515183448792,0.11547739803791046,0.001,0.9357798099517822,0.13772904872894287
12,0.9636776447296143,0.1087174117565155,0.001,0.9266055226325989,0.1305730938911438
13,0.9682179093360901,0.08098167926073074,0.001,0.9541284441947937,0.1308213621377945
14,0.9602724313735962,0.10114795714616776,0.001,0.9449541568756104,0.13263770937919617
15,0.9511918425559998,0.11455926299095154,0.001,0.9357798099517822,0.13688547909259796
16,0.9704880714416504,0.08758879452943802,0.001,0.9449541568756104,0.13396276533603668
17,0.9682179093360901,0.07906180620193481,0.001,0.9541284441947937,0.119591623544693
18,0.9716231822967529,0.07437384873628616,0.001,0.9541284441947937,0.12418100237846375
